Date,Recip_County,Recip_State,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Census2019,Census2019_12PlusPop,Census2019_18PlusPop
4/27/2021,Hudson County,NJ,302083,44.9,302038,52.6,300016,56,57504,70.2,180306,26.8,180302,31.4,179906,33.6,43686,53.3,672391,574459,535676
4/27/2021,Morris County,NJ,273406,55.6,273268,63.8,269265,69.2,72167,83.4,199648,40.6,199645,46.6,198512,51,63942,73.9,491845,428537,389368
4/27/2021,Warren County,NJ,47979,45.6,47977,51.7,47675,56.1,16692,84.7,30394,28.9,30394,32.7,30338,35.7,13639,69.2,105267,92873,84914
4/27/2021,Essex County,NJ,340723,42.6,340692,50.7,336337,55.2,83392,75.1,210802,26.4,210797,31.4,209699,34.4,63153,56.8,798975,671913,609578
4/27/2021,Cape May County,NJ,49110,53.4,49109,60.1,48822,64.2,20862,82.9,38824,42.2,38824,47.6,38722,50.9,18107,72,92039,81647,76089
4/27/2021,Salem County,NJ,24137,38.7,24135,45,23974,48.9,9164,77.2,15608,25,15608,29.1,15572,31.7,6786,57.2,62385,53679,49051
4/27/2021,Passaic County,NJ,200074,39.9,200036,47.4,198200,51.8,55002,73.2,128682,25.6,128678,30.5,128239,33.5,43413,57.7,501826,422206,382808
4/26/2021,Cape May County,NJ,48728,52.9,48727,59.7,48464,63.7,20802,82.7,38188,41.5,38188,46.8,38102,50.1,17970,71.4,92039,81647,76089
4/26/2021,Essex County,NJ,336913,42.2,336882,50.1,332729,54.6,83068,74.8,206242,25.8,206237,30.7,205223,33.7,62368,56.1,798975,671913,609578
4/26/2021,Hudson County,NJ,299451,44.5,299406,52.1,297472,55.5,57326,70,176010,26.2,176006,30.6,175636,32.8,43386,53,672391,574459,535676
4/26/2021,Hunterdon County,NJ,60654,48.8,60653,55,60105,59.7,18942,78.6,35868,28.8,35867,32.5,35730,35.5,13599,56.5,124371,110363,100659
4/26/2021,Camden County,NJ,225747,44.6,225736,52.3,223172,56.9,62767,77,159142,31.4,159136,36.9,158297,40.4,51036,62.6,506471,431523,392248
4/26/2021,Middlesex County,NJ,373398,45.3,373376,52.7,368944,57.1,97792,76.5,231310,28,231309,32.7,229863,35.6,74242,58.1,825062,708391,646270
